#,船,等级,舰种,绝对强度%,同级强度%,同舰种同级强度%,相对经验(中位),场均经验,胜率,五星率,玩家数,场次
553,Vanguard,8,Battleship,25.8,28.4,14.0,0.892,1449.6,0.779,0.371,487,8991
554,Dalarna,11,Destroyer,25.8,23.8,50.0,0.892,1538.5,0.673,0.31,75,1431
555,Mutsu,6,Battleship,25.2,72.5,85.7,0.891,1280.2,0.803,0.399,2261,48337
556,4287543280,,,25.1,,,0.89,1193.2,0.771,0.33,6141,127365
557,Leningrad,7,Destroyer,25.1,17.1,53.8,0.89,1328.2,0.777,0.44,725,10444
558,Almirante Cochrane,6,Cruiser,24.8,71.4,45.5,0.889,1397.8,0.844,0.421,1425,16655
559,Benson,8,Destroyer,24.8,27.3,54.5,0.889,1340.3,0.834,0.43,1705,33950
560,Roma,8,Battleship,24.8,27.3,12.0,0.889,1450.1,0.781,0.364,450,6931
561,Collingwood,7,Battleship,24.8,16.2,9.1,0.889,1410.5,0.814,0.403,234,3894
562,Öland,8,Destroyer,24.3,26.1,51.5,0.888,1477.1,0.849,0.46,1359,24083
563,Z-23,8,Destroyer,24.3,26.1,51.5,0.888,1480.8,0.857,0.466,1049,17024
564,Molotov,6,Cruiser,24.0,70.3,42.4,0.887,1310.8,0.785,0.383,3202,75281
565,Baleares,6,Cruiser,24.0,70.3,42.4,0.887,1276.5,0.816,0.383,852,10001
566,Francesco Caracciolo,7,Battleship,23.8,15.2,6.1,0.886,1402.2,0.851,0.494,2763,37689
567,Luca Tarigo,7,Destroyer,23.8,15.2,50.0,0.886,1560.1,0.894,0.544,804,9110
568,Dupleix,6,Cruiser,23.8,68.1,36.4,0.886,1279.3,0.825,0.397,105,1256
569,Fusō,6,Battleship,23.3,67.0,81.0,0.885,1180.7,0.792,0.383,10404,250271
570,U-69,6,Submarine,23.3,67.0,50.0,0.885,1346.9,0.818,0.338,1914,25641
571,Cherbourg,8,Cruiser,23.1,25.0,3.2,0.883,1473.2,0.8,0.402,2618,37863
572,Yūdachi,7,Destroyer,23.1,13.3,46.2,0.883,1450.4,0.875,0.508,522,11592
573,Z-31,7,Destroyer,22.8,12.4,42.3,0.882,1429.0,0.885,0.521,1540,19419
574,Halford,9,Destroyer,22.8,2.0,8.3,0.882,1297.7,0.801,0.449,118,1591
575,Split,8,Destroyer,22.5,24.4,45.5,0.881,1539.1,0.87,0.491,1394,21212
576,HSF Harekaze II,8,Destroyer,22.5,24.4,45.5,0.881,1522.5,0.878,0.483,32,451
577,Kiev,8,Destroyer,22.3,23.3,39.4,0.877,1516.5,0.856,0.487,698,10378
578,Perth,6,Cruiser,22.1,64.8,33.3,0.876,1287.7,0.793,0.382,2110,50472
579,Kijkduin,6,Cruiser,22.1,64.8,33.3,0.876,1285.1,0.834,0.45,2406,29688
580,Repulse,6,Battleship,22.1,64.8,76.2,0.876,1322.4,0.848,0.481,1363,18362
581,FR25,7,Destroyer,22.1,11.4,38.5,0.876,1337.0,0.86,0.484,86,1198
582,Mackensen,6,Battleship,21.6,61.5,71.4,0.875,1308.3,0.85,0.468,3201,45856
583,Kagerō,8,Destroyer,21.6,22.7,36.4,0.875,1364.1,0.837,0.448,2406,58156
584,Jupiter '42,7,Destroyer,21.6,10.5,34.6,0.875,1351.4,0.867,0.463,70,843
585,Kansas,8,Battleship,21.2,22.2,10.0,0.874,1364.3,0.77,0.354,1941,34489
586,Grom,7,Destroyer,21.2,9.5,30.8,0.874,1440.7,0.871,0.464,874,10579
587,Black B,9,Destroyer,21.2,1.3,5.6,0.874,1436.0,0.836,0.485,70,710
588,Joshua Humphreys,11,Destroyer,21.2,19.0,25.0,0.874,1224.2,0.656,0.265,52,780
589,Rahmat,6,Cruiser,20.6,60.4,27.3,0.872,1233.6,0.834,0.429,2542,35953
590,Graf Zeppelin,8,AirCarrier,20.6,21.6,100.0,0.872,1498.0,0.824,0.442,1250,34976
591,Fiume,7,Cruiser,20.4,8.6,2.2,0.871,1290.5,0.755,0.35,61,839
592,Pensacola,6,Cruiser,20.2,59.3,24.2,0.87,1181.8,0.785,0.385,9200,207461
593,Z-35,8,Destroyer,20.2,21.0,33.3,0.87,1449.6,0.861,0.466,101,1369
594,Vittorio Cuniberti,8,Destroyer,20.2,21.0,33.3,0.87,1532.1,0.858,0.473,759,11055
595,AL Littorio,8,Battleship,20.2,21.0,8.0,0.87,1458.1,0.817,0.407,720,13881
596,Cossack B,8,Destroyer,20.2,21.0,33.3,0.87,1469.2,0.854,0.456,211,3285
597,Trento,6,Cruiser,19.6,58.2,21.2,0.867,1250.6,0.801,0.414,5174,82743
598,Vittorio Veneto,8,Battleship,19.6,18.8,6.0,0.867,1433.3,0.793,0.384,2194,33932
599,Dallas,6,Cruiser,19.3,57.1,18.2,0.866,1241.4,0.796,0.394,6892,141574
600,Warspite,6,Battleship,19.3,57.1,66.7,0.866,1271.1,0.799,0.391,4107,83694
601,Akatsuki,7,Destroyer,19.0,7.6,26.9,0.863,1242.0,0.805,0.444,3734,75381
602,Arkhangelsk,7,Battleship,19.0,7.6,3.0,0.863,1360.8,0.743,0.318,26,216
603,La Galissonnière,6,Cruiser,18.8,54.9,15.2,0.861,1193.5,0.788,0.377,7538,153076
604,Ship Smasha,8,Destroyer,18.8,18.2,24.2,0.861,1441.8,0.849,0.453,33,581
605,AL Yukikaze,8,Destroyer,18.8,18.2,24.2,0.861,1455.0,0.87,0.508,404,11244
606,Prinz Eitel Friedrich,6,Battleship,18.4,53.8,61.9,0.86,1304.9,0.803,0.403,3224,79546
607,Andrea Doria,6,Battleship,18.2,52.7,57.1,0.859,1211.0,0.831,0.441,2931,43880
608,Stord '43,7,Destroyer,18.2,5.7,23.1,0.859,1291.4,0.851,0.413,169,1918
609,ZH-1,9,Destroyer,18.2,0.7,2.8,0.859,1492.4,0.899,0.535,79,873
610,Cachalot,6,Submarine,17.8,51.6,33.3,0.858,1305.8,0.815,0.338,943,11720
611,Loyang,8,Destroyer,17.8,17.0,18.2,0.858,1336.3,0.841,0.439,192,3342
612,Huanghe,6,Cruiser,17.5,50.5,12.1,0.857,1273.8,0.796,0.391,2153,39469
613,Kidd,8,Destroyer,17.4,16.5,15.2,0.855,1356.9,0.834,0.414,548,8633
614,Z-39,7,Destroyer,17.3,4.8,19.2,0.852,1257.2,0.77,0.43,374,4406
615,Admiral Nakhimov,10,AirCarrier,17.3,7.5,100.0,0.852,1497.8,0.781,0.433,307,5650
616,Karl von Schönberg,6,Destroyer,17.3,49.5,95.5,0.852,1120.6,0.846,0.44,155,1812
617,Kaga,8,AirCarrier,16.9,15.9,95.5,0.847,1437.9,0.815,0.447,1775,47165
618,Dunkerque,6,Battleship,16.7,48.4,52.4,0.846,1168.5,0.785,0.387,4431,102117
619,Shiratsuyu,7,Destroyer,16.7,3.8,15.4,0.846,1413.5,0.851,0.499,3469,78868
620,Błyskawica,7,Destroyer,16.7,3.8,15.4,0.846,1160.9,0.818,0.457,1965,31510
621,Colossus,8,AirCarrier,16.3,15.3,90.9,0.845,1583.6,0.851,0.493,243,5332
622,Graf Zeppelin B,8,AirCarrier,16.2,14.8,86.4,0.844,1495.9,0.823,0.451,592,14791
623,Shinano,10,AirCarrier,16.1,6.8,91.7,0.842,1485.3,0.78,0.441,393,6565
624,London,6,Cruiser,15.9,47.3,9.1,0.841,1258.6,0.797,0.434,1813,32896
625,Ocean,10,AirCarrier,15.9,6.2,83.3,0.841,1535.1,0.846,0.511,45,750
626,Guépard,6,Destroyer,15.7,46.2,90.9,0.84,1268.9,0.82,0.449,2126,28422
627,Borodino,8,Battleship,15.7,14.2,4.0,0.84,1387.2,0.765,0.361,305,3398
628,W. Virginia '41,6,Battleship,15.4,45.1,47.6,0.838,1208.7,0.793,0.395,1174,19317
629,Metz,8,Cruiser,15.2,13.6,1.6,0.837,1412.3,0.744,0.337,1841,26912
630,Kaga B,8,AirCarrier,15.2,13.6,81.8,0.837,1459.0,0.807,0.443,545,11988
631,Arizona,6,Battleship,15.0,44.0,42.9,0.835,1157.0,0.779,0.355,2427,47380
632,Chkalov B,8,AirCarrier,14.8,12.5,77.3,0.834,1488.5,0.819,0.465,401,12322
633,Bayern,6,Battleship,14.7,42.9,38.1,0.833,1052.9,0.77,0.346,8455,174501
634,T-61,6,Destroyer,14.7,42.9,86.4,0.833,1266.6,0.788,0.378,988,20988
635,Normandie,6,Battleship,14.4,40.7,33.3,0.83,1145.7,0.801,0.397,5183,120137
636,Chkalov,8,AirCarrier,14.4,11.9,72.7,0.83,1483.5,0.82,0.447,1085,27498
637,Shinonome B,6,Destroyer,14.4,40.7,81.8,0.83,1241.4,0.833,0.423,122,1750
638,Monaghan,6,Destroyer,14.0,38.5,77.3,0.828,1243.4,0.808,0.434,951,15302
639,Huron,7,Destroyer,14.0,1.9,7.7,0.828,1265.5,0.817,0.414,204,2292
640,Skåne,7,Destroyer,13.8,1.0,3.8,0.827,1328.0,0.865,0.511,1492,19449
641,Ise,6,Battleship,13.8,37.4,28.6,0.827,1217.7,0.821,0.447,1364,23252
642,New Mexico,6,Battleship,13.5,36.3,23.8,0.826,1030.3,0.755,0.331,8850,175610
643,Ark Royal,6,AirCarrier,13.5,36.3,100.0,0.826,1303.8,0.81,0.44,1395,34738
644,Renown,6,Battleship,13.5,36.3,23.8,0.826,1248.6,0.827,0.412,1616,20278
645,Farragut,6,Destroyer,13.1,33.0,72.7,0.825,1051.7,0.771,0.362,5254,90463
646,Aviere,6,Destroyer,13.1,33.0,72.7,0.825,1278.2,0.88,0.491,585,6533
647,Laudon,6,Battleship,12.8,30.8,14.3,0.823,1285.8,0.792,0.365,192,2060
648,Siliwangi,8,Destroyer,12.8,11.4,12.1,0.823,1311.5,0.814,0.409,125,1553
649,Stord,6,Destroyer,12.6,29.7,63.6,0.822,1250.1,0.87,0.456,387,4173
650,Gnevny,6,Destroyer,12.4,28.6,59.1,0.821,1169.4,0.795,0.404,2125,28973
651,Hornet,8,AirCarrier,12.3,10.8,68.2,0.82,1349.0,0.801,0.399,1061,23735
652,Leone,6,Destroyer,12.3,27.5,54.5,0.82,1137.2,0.836,0.425,242,3495
653,Essex,10,AirCarrier,12.0,5.6,75.0,0.819,1437.3,0.791,0.43,546,9008
654,Nebraska,8,Battleship,11.9,10.2,2.0,0.817,1353.3,0.772,0.355,2157,35451
655,Ryūjō,6,AirCarrier,11.7,26.4,88.9,0.814,1202.6,0.801,0.415,5630,146509
656,Queen Elizabeth,6,Battleship,11.7,26.4,9.5,0.814,1113.5,0.8,0.387,5198,93737
657,Erich Loewenhardt,6,AirCarrier,11.5,24.2,77.8,0.812,1384.3,0.841,0.468,821,18111
658,Aquila,8,AirCarrier,11.3,9.7,63.6,0.81,1428.6,0.805,0.444,415,7087
659,Pobeda,8,AirCarrier,11.2,9.1,59.1,0.808,1377.5,0.807,0.421,1941,61933
660,August von Parseval,8,AirCarrier,11.2,9.1,59.1,0.808,1326.7,0.79,0.41,1529,40126
661,AL Hornet,8,AirCarrier,11.2,9.1,59.1,0.808,1338.6,0.807,0.416,146,3125
662,HSF Admiral Graf Spee,6,Cruiser,11.2,23.1,6.1,0.808,1122.6,0.769,0.361,993,21720
663,Fushun,6,Destroyer,10.7,22.0,50.0,0.807,1194.3,0.818,0.425,1796,29064
664,Loyang B,8,Destroyer,10.7,7.4,9.1,0.807,1349.1,0.819,0.43,97,1332
665,Enterprise,8,AirCarrier,10.7,7.4,45.5,0.807,1413.3,0.808,0.432,535,9737
666,Aigle,6,Destroyer,10.3,20.9,45.5,0.806,1081.5,0.776,0.372,3123,66369
667,Max Immelmann,10,AirCarrier,10.1,5.0,66.7,0.803,1283.6,0.745,0.405,256,3795
668,Admiral Graf Spee,6,Cruiser,10.0,19.8,3.0,0.802,1104.3,0.769,0.362,6433,124968
669,Lexington,8,AirCarrier,9.9,6.2,40.9,0.789,1201.1,0.768,0.374,2092,48039
670,Shōkaku,8,AirCarrier,9.9,6.2,40.9,0.789,1253.7,0.78,0.402,2030,46060
671,Asashio,8,Destroyer,9.6,5.1,6.1,0.788,1255.7,0.806,0.44,131,1778
672,Hakuryū,10,AirCarrier,9.4,4.3,58.3,0.786,1223.4,0.739,0.379,145,1679
673,Repulse B,6,Battleship,9.4,18.7,4.8,0.786,1389.7,0.807,0.406,53,412
674,Serov,6,AirCarrier,9.2,17.6,66.7,0.783,1251.9,0.842,0.463,2545,48363
675,Franklin D. Roosevelt,10,AirCarrier,9.0,3.7,50.0,0.781,1318.8,0.747,0.391,186,2493
676,Béarn,6,AirCarrier,8.9,16.5,55.6,0.78,1198.3,0.814,0.439,271,4118
677,Foca,6,Submarine,8.9,16.5,16.7,0.78,1333.5,0.796,0.405,186,2283
678,Midway,10,AirCarrier,8.6,3.1,41.7,0.779,1217.0,0.736,0.386,215,2577
679,Yorktown,8,AirCarrier,8.5,4.5,31.8,0.777,1303.0,0.812,0.419,2342,56211
680,Ernst Gaede,6,Destroyer,8.4,14.3,40.9,0.776,1030.1,0.785,0.375,4300,71782
681,Saipan,8,AirCarrier,8.4,4.0,27.3,0.776,1375.0,0.799,0.425,389,7531
682,4288657392,,,8.1,,,0.775,988.4,0.723,0.299,1789,33791
683,Juruá,6,Destroyer,8.1,13.2,36.4,0.775,1112.0,0.841,0.409,127,1428
684,Weser,6,AirCarrier,7.8,12.1,44.4,0.773,1154.5,0.819,0.431,3283,63593
685,Implacable,8,AirCarrier,7.7,3.4,22.7,0.772,1234.3,0.774,0.391,1172,23916
686,Saipan B,8,AirCarrier,7.7,3.4,22.7,0.772,1318.9,0.789,0.402,144,2670
687,Theseus,8,AirCarrier,7.4,2.3,13.6,0.77,1319.1,0.777,0.444,97,1443
688,Furious,6,AirCarrier,7.3,11.0,33.3,0.769,1151.8,0.79,0.382,3483,75240
689,Sanzang,8,AirCarrier,7.2,1.7,9.1,0.766,1323.8,0.8,0.422,217,3569
690,Shinonome,6,Destroyer,7.0,9.9,31.8,0.765,1200.9,0.788,0.386,1351,23681
691,Manfred von Richthofen,10,AirCarrier,7.0,2.5,33.3,0.765,1268.8,0.747,0.399,124,1560
692,Ranger,6,AirCarrier,6.7,8.8,22.2,0.759,1049.1,0.766,0.361,5654,121391
693,Icarus,6,Destroyer,6.6,7.7,27.3,0.758,1075.5,0.791,0.389,2435,37529
694,Indomitable,8,AirCarrier,6.5,1.1,4.5,0.754,1280.4,0.802,0.415,412,6613
695,Gallant,6,Destroyer,6.5,6.6,22.7,0.754,1009.3,0.771,0.316,1519,24606
696,Hatsuharu,6,Destroyer,6.2,5.5,18.2,0.753,1116.6,0.802,0.399,3661,60752
697,Anshan,6,Destroyer,6.1,4.4,13.6,0.752,1064.4,0.786,0.39,1791,31078
698,4285511376,,,5.9,,,0.751,1059.3,0.73,0.323,2476,52555
699,Västerås,6,Destroyer,5.9,3.3,9.1,0.751,1118.1,0.785,0.414,2225,29605
700,Malta,10,AirCarrier,5.7,1.9,25.0,0.748,1158.4,0.719,0.39,400,4433
701,Asashio B,8,Destroyer,5.5,0.6,3.0,0.739,1276.6,0.829,0.481,142,3014
702,Eagle,11,AirCarrier,5.4,14.3,100.0,0.734,1008.8,0.652,0.297,45,557
703,United States,11,AirCarrier,5.3,9.5,66.7,0.73,1023.5,0.649,0.282,87,866
704,Sekiryu,11,AirCarrier,5.1,4.8,33.3,0.724,1136.6,0.606,0.264,37,296
705,Independence,6,AirCarrier,5.0,2.2,11.1,0.718,1047.6,0.796,0.371,1069,16522
706,Audacious,10,AirCarrier,4.9,1.2,16.7,0.711,977.0,0.656,0.326,205,2296
707,Fubuki,6,Destroyer,4.7,1.1,4.5,0.707,939.4,0.761,0.355,5199,95964
708,3763320528,,,4.6,,,0.703,1084.9,0.654,0.298,221,2649
709,Okhotnik,5,Destroyer,4.5,100.0,100.0,0.696,804.6,0.63,0.164,28,331
710,Königsberg,5,Cruiser,4.3,96.2,100.0,0.684,744.3,0.563,0.138,493,6030
711,AL Shinano,10,AirCarrier,4.2,0.6,8.3,0.682,1260.5,0.793,0.449,51,815
712,Texas,5,Battleship,4.2,92.3,100.0,0.682,839.0,0.636,0.171,130,1258
713,Marblehead,5,Cruiser,3.9,88.5,85.7,0.679,857.6,0.563,0.143,39,483
714,Iron Duke,5,Battleship,3.8,84.6,88.9,0.675,915.7,0.699,0.242,192,1972
715,Murmansk,5,Cruiser,3.6,80.8,71.4,0.659,846.7,0.611,0.14,107,1197
716,4284463088,,,3.5,,,0.658,876.6,0.539,0.193,539,6366
717,Kamikaze,5,Destroyer,3.4,76.9,90.0,0.655,792.7,0.661,0.183,40,381
718,Kongō,5,Battleship,3.2,73.1,77.8,0.652,659.6,0.613,0.18,271,3034
719,Omaha,5,Cruiser,3.1,69.2,57.1,0.651,685.3,0.559,0.144,329,4053
720,ARP Kirishima,5,Battleship,3.0,65.4,66.7,0.642,710.7,0.607,0.166,92,813
721,König,5,Battleship,2.8,61.5,55.6,0.636,663.7,0.604,0.152,398,4387
722,ARP Hiei,5,Battleship,2.7,57.7,44.4,0.63,607.0,0.568,0.141,110,999
723,ARP Haruna,5,Battleship,2.6,53.8,33.3,0.629,661.7,0.594,0.166,106,1020
724,Emerald,5,Cruiser,2.4,50.0,42.9,0.627,666.0,0.574,0.151,312,3424
725,Kamikaze R,5,Destroyer,2.3,46.2,80.0,0.625,812.6,0.65,0.167,123,1246
726,3763320816,,,2.2,,,0.62,968.4,0.607,0.265,113,1025
727,Émile Bertin,5,Cruiser,2.2,42.3,28.6,0.62,672.0,0.576,0.147,512,5963
728,4184782288,,,2.2,,,0.62,728.1,0.562,0.151,254,2641
729,New York,5,Battleship,1.8,38.5,22.2,0.619,621.1,0.541,0.128,328,3356
730,Furutaka,5,Cruiser,1.6,34.6,14.3,0.61,642.0,0.564,0.156,276,3423
731,Fūjin,5,Destroyer,1.5,30.8,70.0,0.608,882.5,0.677,0.214,26,213
732,4288657104,,,1.3,,,0.602,696.6,0.566,0.168,221,2238
733,4292851696,,,1.3,,,0.602,671.6,0.562,0.121,170,1577
734,ARP Kongō,5,Battleship,1.1,26.9,11.1,0.596,654.5,0.599,0.15,210,2112
735,Gremyashchy,5,Destroyer,0.9,23.1,60.0,0.584,853.5,0.54,0.112,30,268
736,4283414224,,,0.8,,,0.571,809.6,0.567,0.203,442,5566
737,Nicholas,5,Destroyer,0.7,19.2,50.0,0.565,599.4,0.557,0.131,160,1806
738,Minekaze,5,Destroyer,0.5,15.4,40.0,0.526,532.8,0.57,0.133,118,1246
739,Podvoisky,5,Destroyer,0.4,11.5,30.0,0.476,551.3,0.525,0.12,77,733
740,T-22,5,Destroyer,0.3,7.7,20.0,0.467,537.2,0.541,0.117,170,1618
741,Mutsuki,5,Destroyer,0.1,3.8,10.0,0.41,423.9,0.532,0.142,139,1397
